0,1
"Blackrock, Dún Laoghaire-Rathdown, County Dublin, Leinster, A94 VP03, Éire / Ireland","(53.3018639, -6.1788342)"
"Dún Laoghaire, Dún Laoghaire-Rathdown, County Dublin, Leinster, A96 T860, Éire / Ireland","(53.2922794, -6.1360079)"
"Dalkey, Railway Road, Dalkey Hill ED, Dalkey, Dún Laoghaire-Rathdown, County Dublin, Leinster, A96 PY23, Éire / Ireland","(53.2754961, -6.102561409104025)"
"Rathgar, Rathfarnham ED, Dublin, County Dublin, Leinster, Éire / Ireland","(53.3118481, -6.2744692)"
"Terenure, Rathfarnham ED, Dublin, County Dublin, Leinster, D06 K767, Éire / Ireland","(53.3098292, -6.2832703)"
"Palmerston Park, Dartry, Rathmines South, Rathfarnham A ED, Dublin, Dublin 6, Leinster, Éire / Ireland","(53.3130158, -6.258256095929507)"
"Rathmines, Rathmines West B ED, Dublin, County Dublin, Leinster, Éire / Ireland","(53.3265199, -6.2648571)"
"Sandymount Green, Sandymount, Pembroke East C ED, Dublin, Dublin 4, Leinster, Éire / Ireland","(53.33188965, -6.215099021170213)"
"Ringsend, Pembroke East A ED, Dublin, County Dublin, Leinster, D04 Y970, Éire / Ireland","(53.341944, -6.226389)"
"#378 Strand Road, Sandymount Tower, Strand Road, Sandymount, Pembroke East C ED, Dublin, County Dublin, Leinster, D04 H668, Éire / Ireland","(53.3256149, -6.2072527)"
"Harold's Cross, Rathmines West A ED, Dublin, County Dublin, Leinster, D06 HP29, Éire / Ireland","(53.3263097, -6.2780042)"
"Prince's Street North, North City ED, Dublin, Dublin 1, Leinster, D01 F5P2, Éire / Ireland","(53.3489444, -6.2610459)"
"Oaklands, Rathmines West D ED, Dublin, Dublin 6, Leinster, D06 H0K0, Éire / Ireland","(53.3179529, -6.2683825)"
"Guinness Brewery, Ushers B ED, Dublin, County Dublin, Leinster, Éire / Ireland","(53.34546785, -6.288072970023892)"
"National Gallery of Ireland, 89, Merrion Square West, Dublin, County Dublin, Leinster, D02 FR90, Éire / Ireland","(53.341108649999995, -6.252665930035885)"
"College Green, Royal Exchange A ED, Dublin, Dublin 2, Leinster, D02 KX03, Éire / Ireland","(53.3442593, -6.2609009)"
"Tinnahinch, Saint Alban's Park, Pembroke East C ED, Dublin, County Dublin, Leinster, D04 P6C4, Éire / Ireland","(53.32018425, -6.2090885876230075)"
"Meagher's, 283-285, Richmond Road, Drumcondra South A ED, Dublin, Dublin 3, Leinster, D09 E9R3, Éire / Ireland","(53.362621, -6.242264)"
"Kilkenny, Carlton Court, Swords Village ED, Fingal, County Dublin, Leinster, K67 KW54, Éire / Ireland","(53.4539939, -6.2199105)"
"Ballsbridge, Pembroke East E ED, Dublin, County Dublin, Leinster, D04 C7K6, Éire / Ireland","(53.3291947, -6.2313316)"
"Jerusalem, 77, Camden Street Lower, Saint Kevin's ED, Dublin, County Dublin, Leinster, D02 HH92, Éire / Ireland","(53.3353711, -6.2654097)"
"Neptune, Marconi Crescent, Honeypark, Dun Laoghaire Sallynoggin West ED, Dún Laoghaire, Dún Laoghaire-Rathdown, County Dublin, Leinster, A96 N2T4, Éire / Ireland","(53.2803791, -6.142553678164326)"
"Glasnevin, Botanic A ED, Dublin, Dublin 9, Leinster, Éire / Ireland","(53.3782873, -6.2662007)"
"Express, 39, Abbey Road, Kill of the Grange, Blackrock-Stradbrook ED, Dún Laoghaire, Dún Laoghaire-Rathdown, County Dublin, Leinster, A94 A4A7, Éire / Ireland","(53.2817537, -6.1599331)"
"Irish Independent, Talbot Street, Mountjoy A ED, Dublin, County Dublin, Leinster, D01 E4H9, Éire / Ireland","(53.3511031, -6.252957)"
"North Ring Road, Dublin Hill, The Glen B, Cork, County Cork, Munster, T23 PX36, Éire / Ireland","(51.9157767, -8.4532025)"
"Canada Life, Marlborough Street, North City ED, Dublin, County Dublin, Leinster, D01 FD28, Éire / Ireland","(53.349352, -6.2577242)"
"Wexford, Kilmacud Road Lower, Mount Anville, Stillorgan-Deerpark ED, Goatstown, Dún Laoghaire-Rathdown, County Dublin, Leinster, D14 C3Y0, Éire / Ireland","(53.2908587, -6.2267604)"
"The Bridge Bar & Eatery, 1, Saint Laurence's Road, Chapelizod, Ballyfermot B ED, Dublin, County Dublin, Leinster, D20 XK72, Éire / Ireland","(53.3477321, -6.345836199055083)"
"The Oval, Palmerstown Village ED, Palmerstown, South Dublin, Dublin 20, Leinster, Éire / Ireland","(53.35309525, -6.368294275570834)"
"Mexico to Rome, Wellington Quay, Royal Exchange A ED, Dublin, County Dublin, Leinster, D02 Y103, Éire / Ireland","(53.3457261, -6.2643978)"
"Mexico to Rome, Wellington Quay, Royal Exchange A ED, Dublin, County Dublin, Leinster, D02 Y103, Éire / Ireland","(53.3457261, -6.2643978)"
"Breffni, 14, Merlyn Park, Merlyn, Pembroke East E ED, Dublin, County Dublin, Leinster, D04 A373, Éire / Ireland","(53.3224424, -6.2153956316878105)"
"Hyde Engineering + Consulting Europe Limited, 27-29, Orwell Road, Rathgar, Rathfarnham ED, Dublin, County Dublin, Leinster, D06 F6H9, Éire / Ireland","(53.3112927, -6.2738242)"
"Trafalgar Terrace, Seapoint or Temple Hill, Blackrock-Seapoint ED, Blackrock, Dún Laoghaire-Rathdown, County Dublin, Leinster, A94 PC95, Éire / Ireland","(53.2977401, -6.1621327)"
"Royal College of Surgeons in Ireland, St. Stephen's Green, Royal Exchange B ED, Dublin, County Dublin, Leinster, D02 NY74, Éire / Ireland","(53.33917155, -6.2629391028003685)"
"Dublin, Dublin 1, Leinster, Éire / Ireland","(53.3498006, -6.2602964)"
"North Clarence Street Flats, North Strand, Ballybough A ED, Dublin, Dublin 1, Leinster, Éire / Ireland","(53.356906, -6.248295834001965)"
"Phoenix, Belgard Square North, Springfield, Tallaght-Springfield ED, Tallaght, South Dublin, County Dublin, Leinster, D24 NR0A, Éire / Ireland","(53.291825, -6.3806466)"
"Butt Bridge, Mansion House A ED, Dublin, County Dublin, Leinster, D02 YY95, Éire / Ireland","(53.3478487, -6.254976852127692)"
"Inchicore, Inchicore A ED, Dublin, County Dublin, Leinster, D08 PN20, Éire / Ireland","(53.3394635, -6.3209233)"
"Windy Arbour, Farranboley, Clonskeagh-Farranboley ED, Dundrum, Dún Laoghaire-Rathdown, County Dublin, Leinster, D14 NW80, Éire / Ireland","(53.3028509, -6.2469717)"
"Ranelagh, Rathmines East D ED, Dublin, County Dublin, Leinster, D06 VF76, Éire / Ireland","(53.3252185, -6.2550504)"
"Leeson Village, Rathmines East A ED, Dublin, Dublin 6, Leinster, Éire / Ireland","(53.32770725, -6.247007981326804)"
"Prince's Street North, North City ED, Dublin, Dublin 1, Leinster, D01 F5P2, Éire / Ireland","(53.3489444, -6.2610459)"
"Cork Little, Shankill-Shanganagh ED, Shankill, Dún Laoghaire-Rathdown, Dublin 18, Leinster, Éire / Ireland","(53.22135425, -6.113723618281814)"
"Chapelizod, Chapelizod ED, Dublin, County Dublin, Leinster, D20 XK72, Éire / Ireland","(53.3479155, -6.3451971)"
"The Bowery, 196, Rathmines Road Lower, Rathmines, Rathmines West B ED, Dublin, County Dublin, Leinster, D06 TP90, Éire / Ireland","(53.3242854, -6.2651445)"
"Bar Italia, 26, Ormond Quay Lower, North City ED, Dublin, County Dublin, Leinster, D02 Y103, Éire / Ireland","(53.3464093, -6.2649768)"
"Trinity College Dublin, College Green, Mansion House A ED, Dublin, County Dublin, Leinster, D02 VR66, Éire / Ireland","(53.34366745, -6.254444724511822)"
"Annamore Court, Chapelizod ED, Dublin, Dublin 10, Leinster, Éire / Ireland","(53.345541100000005, -6.3505479793934)"
"Abbey Street, Howth ED, Howth, Fingal, Dublin 13, Leinster, D13 A2T6, Éire / Ireland","(53.3872364, -6.0655199)"
"Blackpitts, Merchants Quay D ED, Dublin, Dublin 8, Leinster, D08 HY5R, Éire / Ireland","(53.3359706, -6.2751061)"
"Marlborough, Marlborough Street, North City ED, Dublin, County Dublin, Leinster, D01 FD28, Éire / Ireland","(53.3491832, -6.2577573)"
"Nelson Street, Inns Quay B ED, Dublin, Dublin 7, Leinster, D01 H0F9, Éire / Ireland","(53.3572123, -6.26804)"
"Lourdes Road, Maryland, Ushers C ED, Dublin, Dublin 8, Leinster, D08 F2C5, Éire / Ireland","(53.3381954, -6.289551)"
"Irishtown, Pembroke East A ED, Dublin, Dublin 4, Leinster, Éire / Ireland","(53.3380806, -6.2221223)"
"EP Mooney Retail Centre, Walkinstown A ED, Dublin, Dublin 12, Leinster, Éire / Ireland","(53.32323925, -6.338845556177647)"
"O'Connell Street (Opposite Gresham Hotel), O'Connell Street Upper, North City ED, Dublin, County Dublin, Leinster, D01 TV20, Éire / Ireland","(53.3517847, -6.2613144)"
"Central, 40-42, Main Street, Newtown Blackrock, Blackrock-Templehill ED, Blackrock, Dún Laoghaire-Rathdown, County Dublin, Leinster, A94 W4F3, Éire / Ireland","(53.3009573, -6.1768718)"
"Rathfarnham, South Dublin, Dublin 14, Leinster, D14 K3T6, Éire / Ireland","(53.2988099, -6.2855388)"
"Donnybrook, Rathmines East B ED, Dublin, County Dublin, Leinster, D04 T8X2, Éire / Ireland","(53.3220419, -6.236355)"
"Alexandra College Residence, 96, Rathmines Road Upper, Rathmines, Rathmines West C ED, Dublin, County Dublin, Leinster, D06 X9R9, Éire / Ireland","(53.3183176, -6.262357432002084)"
